Var1,alert,orient,control
Rprecuneus_5,0.5989338,0.9201862,-0.2291696
Rrostralmiddlefrontal_2,0.5783492,0.8107778,-0.1476798
Rrostralmiddlefrontal_3,-0.2735715,0.5969406,0.8832021
Rrostralmiddlefrontal_4,-0.9495785,-0.7899911,0.7817515
Rrostralmiddlefrontal_5,-0.7085725,-0.1534619,-1.685551
Rrostralmiddlefrontal_6,-0.4668474,-0.3503095,-0.1886212
Rsuperiorfrontal_2,-0.4611001,0.0808605,-1.588274
Rsuperiorfrontal_3,-0.2068798,0.1777837,-1.435841
Rsuperiorfrontal_4,-0.8497968,0.09696741,-2.548512
Rsuperiorfrontal_5,0.3232867,0.6889853,1.376331
Rsuperiorfrontal_6,0.766413,1.140291,1.072962
Rsuperiorfrontal_7,1.874857,2.008731,2.702754
Rsuperiorfrontal_8,0.9901049,1.572917,1.241302
Rsuperiorparietal_2,0.8561198,1.255547,0.4731333
Rsuperiorparietal_3,2.594927,2.195243,3.682956
Rsuperiorparietal_4,3.752637,3.211813,5.531491
Rsuperiorparietal_5,1.985351,2.089648,3.914564
Rsuperiorparietal_6,3.59964,3.796598,3.800084
Rsuperiorparietal_7,0.9192514,0.6167324,0.06107603
Rsuperiortemporal_2,0.2161301,0.3027663,-0.4012306
Rsuperiortemporal_3,0.1042966,0.07855644,-0.8644262
Rsuperiortemporal_4,-0.2471023,-0.3666767,-0.1771624
Rsuperiortemporal_5,-0.1804543,0.2666126,-1.18651
Rsupramarginal_2,-0.1725298,0.5566483,-0.4065083
Rsupramarginal_3,0.6296684,1.223756,0.1529158
Rsupramarginal_4,0.7478412,0.9016197,-0.3229117
Rinsula_2,-0.3387464,-0.465657,-0.5268845
Rinsula_3,-0.3678813,-0.4393208,2.335991
